metodo,costo,x_AT1,x_AT2,x_AT3,x_BT1,x_BT2,x_BT3,x_CT1,x_CT2,x_CT3
Clásico,16.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
QAOA,16.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
