corrida,costo,tiempo_s,x_AT1,x_AT2,x_BT1,x_BT2
1,0.0,1.376,0.0,0.0,0.0,0.0
2,0.0,1.338,0.0,0.0,0.0,0.0
3,0.0,1.251,0.0,0.0,0.0,0.0
4,0.0,1.217,0.0,0.0,0.0,0.0
5,0.0,1.221,0.0,0.0,0.0,0.0
6,0.0,1.543,0.0,0.0,0.0,0.0
7,0.0,2.834,0.0,0.0,0.0,0.0
8,0.0,2.908,0.0,0.0,0.0,0.0
9,0.0,3.201,0.0,0.0,0.0,0.0
10,0.0,2.72,0.0,0.0,0.0,0.0
