Semana,Demanda_Forecast_Prophet,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,219,219,50.0,50.0,0.0,0.0
42,223,223,50.0,50.0,0.0,0.0
43,226,226,50.0,50.0,0.0,0.0
44,230,230,50.0,50.0,0.0,0.0
45,233,233,50.0,50.0,0.0,0.0
46,237,237,50.0,50.0,0.0,0.0
47,240,240,50.0,50.0,0.0,0.0
48,244,244,50.0,50.0,0.0,0.0
49,247,247,50.0,50.0,0.0,0.0
50,251,251,50.0,50.0,0.0,0.0
51,254,254,50.0,50.0,0.0,0.0
52,258,258,50.0,50.0,0.0,0.0
