Semana,Demanda_Forecast_Prophet,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,219,176,30.0,0.0,0.0,13.0
42,223,179,0.0,0.0,0.0,44.0
43,226,181,0.0,0.0,0.0,45.0
44,230,184,0.0,0.0,0.0,46.0
45,233,187,0.0,0.0,0.0,46.0
46,237,190,0.0,0.0,0.0,47.0
47,240,192,0.0,0.0,0.0,48.0
48,244,196,0.0,0.0,0.0,48.0
49,247,198,0.0,0.0,0.0,49.0
50,251,201,0.0,0.0,0.0,50.0
51,254,204,0.0,0.0,0.0,50.0
52,258,207,0.0,0.0,0.0,51.0
