Semana,Demanda_real,Prediccion_Prophet,Error_abs
41,225,219.47148464116682,5.528515358833175
42,204,222.97007198186185,18.97007198186185
43,204,226.46865932255687,22.468659322556874
44,206,229.96724666325193,23.967246663251927
45,219,233.46583400394695,14.465834003946952
46,227,236.96442134464198,9.964421344641977
47,228,240.463008685337,12.463008685337002
48,226,243.96159602603205,17.961596026032055
49,226,247.4601833667271,21.460183366727108
50,219,250.9587707074221,31.958770707422104
51,206,254.45735804811716,48.45735804811716
52,213,257.9559453888122,44.95594538881221
