Semana,Demanda_Forecast_Prophet,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,219,66,0.0,0.0,0.0,153.0
42,223,67,0.0,0.0,0.0,156.0
43,226,68,0.0,0.0,0.0,158.0
44,230,69,0.0,0.0,0.0,161.0
45,233,70,0.0,0.0,0.0,163.0
46,237,72,0.0,0.0,0.0,165.0
47,240,72,0.0,0.0,0.0,168.0
48,244,74,0.0,0.0,0.0,170.0
49,247,75,0.0,0.0,0.0,172.0
50,251,76,0.0,0.0,0.0,175.0
51,254,77,0.0,0.0,0.0,177.0
52,258,78,0.0,0.0,0.0,180.0
