Semana,Demanda_Forecast_MA3,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,215,65,0.0,0.0,0,150
42,212,64,0.0,0.0,0,148
43,211,64,0.0,0.0,0,147
44,205,62,0.0,0.0,0,143
45,210,63,0.0,0.0,0,147
46,217,66,0.0,0.0,0,151
47,225,68,0.0,0.0,0,157
48,227,69,0.0,0.0,0,158
49,227,69,0.0,0.0,0,158
50,224,68,0.0,0.0,0,156
51,217,66,0.0,0.0,0,151
52,213,64,0.0,0.0,0,149
