Semana,Demanda,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41.0,225.0,212.33333333333334,250.0,237.33333333333337,237.33333333333337,0
42.0,204.0,215.33333333333334,237.33333333333337,248.66666666666674,248.66666666666674,0
43.0,204.0,212.33333333333334,248.66666666666674,257.0000000000001,257.0000000000001,0
44.0,206.0,211.0,257.0000000000001,262.0000000000001,262.0000000000001,0
45.0,219.0,204.66666666666666,262.0000000000001,247.66666666666674,247.66666666666674,0
46.0,227.0,209.66666666666666,247.66666666666674,230.33333333333337,230.33333333333337,0
47.0,228.0,217.33333333333334,230.33333333333337,219.66666666666674,219.66666666666674,0
48.0,226.0,224.66666666666666,219.66666666666674,218.33333333333337,218.33333333333337,0
49.0,226.0,227.0,218.33333333333337,219.33333333333337,219.33333333333337,0
50.0,219.0,226.66666666666666,219.33333333333337,227.0,227.0,0
51.0,206.0,223.66666666666666,227.0,244.66666666666663,244.66666666666663,0
52.0,213.0,217.0,244.66666666666663,248.66666666666663,248.66666666666663,0
