Semana,Demanda,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41.0,225.0,192.33333333333334,250.0,217.33333333333337,217.33333333333337,0
42.0,204.0,195.33333333333334,217.33333333333337,208.66666666666674,208.66666666666674,0
43.0,204.0,192.33333333333334,208.66666666666674,197.0000000000001,197.0000000000001,0
44.0,206.0,191.0,197.0000000000001,182.0000000000001,182.0000000000001,0
45.0,219.0,184.66666666666666,182.0000000000001,147.66666666666674,147.66666666666674,0
46.0,227.0,189.66666666666666,147.66666666666674,110.33333333333337,110.33333333333337,0
47.0,228.0,197.33333333333334,110.33333333333337,79.66666666666674,79.66666666666674,0
48.0,226.0,204.66666666666666,79.66666666666674,58.33333333333337,58.33333333333337,0
49.0,226.0,207.0,58.33333333333337,39.33333333333337,39.33333333333337,0
50.0,219.0,206.66666666666666,39.33333333333337,27.00000000000003,27.00000000000003,0
51.0,206.0,203.66666666666666,27.00000000000003,24.666666666666686,24.666666666666686,0
52.0,213.0,197.0,24.666666666666686,8.666666666666686,8.666666666666686,0
