Semana,Demanda_Forecast_MA3,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,215,0,10.0,0.0,0,205
42,212,0,0.0,0.0,0,212
43,211,0,0.0,0.0,0,211
44,205,0,0.0,0.0,0,205
45,210,0,0.0,0.0,0,210
46,217,0,0.0,0.0,0,217
47,225,0,0.0,0.0,0,225
48,227,0,0.0,0.0,0,227
49,227,0,0.0,0.0,0,227
50,224,0,0.0,0.0,0,224
51,217,0,0.0,0.0,0,217
52,213,0,0.0,0.0,0,213
