Semana,Demanda_Forecast_MA3,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,215,172,30.0,0.0,0,13
42,212,170,0.0,0.0,0,42
43,211,169,0.0,0.0,0,42
44,205,164,0.0,0.0,0,41
45,210,168,0.0,0.0,0,42
46,217,174,0.0,0.0,0,43
47,225,180,0.0,0.0,0,45
48,227,182,0.0,0.0,0,45
49,227,182,0.0,0.0,0,45
50,224,180,0.0,0.0,0,44
51,217,174,0.0,0.0,0,43
52,213,171,0.0,0.0,0,42
