corrida,energia,tiempo_seg
1,-5.666406249999997,203.71891522407532
2,-4.833593750000001,200.0919382572174
3,-4.679687499999989,191.66428804397583
4,-3.6835937500000013,209.3961682319641
5,-3.160156249999999,191.63794708251953
6,-3.7636718749999996,183.64033699035645
7,-5.331250000000001,197.9507179260254
8,-4.015625000000005,194.4963150024414
9,-4.326953125000004,197.83801436424255
10,-4.343749999999997,166.8780496120453
