Semana,Demanda_Forecast_ANN,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,256,205,30.0,0.0,0,21
42,187,150,0.0,0.0,0,37
43,200,160,0.0,0.0,0,40
44,220,176,0.0,0.0,0,44
45,233,187,0.0,0.0,0,46
46,246,197,0.0,0.0,0,49
47,260,208,0.0,0.0,0,52
48,279,224,0.0,0.0,0,55
49,209,168,0.0,0.0,0,41
50,223,179,0.0,0.0,0,44
51,236,189,0.0,0.0,0,47
52,179,144,0.0,0.0,0,35
