Semana,Demanda,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,225.0,56.5,250.0,81.5,81.5,0
42,204.0,155.2,81.5,32.7,32.7,0
43,204.0,217.5,32.7,46.2,46.2,0
44,206.0,223.3,46.2,63.5,63.5,0
45,219.0,219.5,63.5,64.0,64.0,0
46,227.0,232.5,64.0,69.4,69.4,0
47,228.0,240.5,69.4,81.9,81.9,0
48,226.0,247.3,81.9,103.2,103.2,0
49,226.0,156.2,103.2,33.5,33.5,0
50,219.0,239.5,33.5,54.0,54.0,0
51,206.0,232.5,54.0,80.4,80.4,0
52,213.0,149.0,80.4,16.5,16.5,0
