Semana,Demanda,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,270.0,56.5,250.0,36.5,36.5,0.0
42,244.8,200.2,36.5,0.0,0.0,8.1
43,244.8,250.2,0.0,5.4,5.4,0.0
44,247.2,264.1,5.4,22.3,22.3,0.0
45,262.8,260.7,22.3,20.2,20.2,0.0
46,272.4,276.3,20.2,24.0,24.0,0.0
47,273.6,285.9,24.0,36.3,36.3,0.0
48,271.2,292.9,36.3,58.0,58.0,0.0
49,271.2,201.4,58.0,0.0,0.0,11.7
50,262.8,273.0,0.0,10.2,10.2,0.0
51,247.2,276.3,10.2,39.2,39.2,0.0
52,255.6,190.2,39.2,0.0,0.0,26.1
