Semana,Demanda_Forecast_ANN,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,256,0,10.0,0.0,0,246
42,187,0,0.0,0.0,0,187
43,200,0,0.0,0.0,0,200
44,220,0,0.0,0.0,0,220
45,233,0,0.0,0.0,0,233
46,246,0,0.0,0.0,0,246
47,260,0,0.0,0.0,0,260
48,279,0,0.0,0.0,0,279
49,209,0,0.0,0.0,0,209
50,223,0,0.0,0.0,0,223
51,236,0,0.0,0.0,0,236
52,179,0,0.0,0.0,0,179
