Semana,Demanda,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,180.0,56.5,250.0,126.5,126.5,0
42,163.2,110.2,126.5,73.5,73.5,0
43,163.2,176.7,73.5,87.0,87.0,0
44,164.8,182.5,87.0,104.7,104.7,0
45,175.2,178.3,104.7,107.8,107.8,0
46,181.6,188.7,107.8,114.8,114.8,0
47,182.4,195.1,114.8,127.5,127.5,0
48,180.8,201.7,127.5,148.4,148.4,0
49,180.8,111.0,148.4,78.7,78.7,0
50,175.2,194.3,78.7,97.8,97.8,0
51,164.8,188.7,97.8,121.6,121.6,0
52,170.4,107.8,121.6,59.1,59.1,0
