Semana,Demanda_Forecast_ANN,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,256,77,0.0,0.0,0,179
42,187,57,0.0,0.0,0,130
43,200,60,0.0,0.0,0,140
44,220,66,0.0,0.0,0,154
45,233,70,0.0,0.0,0,163
46,246,74,0.0,0.0,0,172
47,260,78,0.0,0.0,0,182
48,279,84,0.0,0.0,0,195
49,209,63,0.0,0.0,0,146
50,223,67,0.0,0.0,0,156
51,236,71,0.0,0.0,0,165
52,179,54,0.0,0.0,0,125
