Semana,Demanda,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,252.6,250,100.0,97.4,0,0
42,267.5,250,97.4,80.0,0,0
43,252.5,250,80.0,77.5,0,0
44,260.9,250,77.5,66.6,0,0
45,261.0,250,66.6,55.6,0,0
46,266.4,250,55.6,39.1,0,0
47,256.4,250,39.1,32.7,0,0
48,255.7,250,32.7,27.0,0,0
49,256.0,250,27.0,21.0,0,0
50,256.0,250,21.0,14.9,0,0
51,255.2,250,14.9,9.7,0,0
52,250.0,250,9.7,9.7,0,0
