Semana,Demanda,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,210.5,250,100.0,139.5,0.0,0
42,222.9,250,139.5,166.6,0.0,0
43,210.4,250,166.6,206.2,0.0,0
44,217.4,250,206.2,238.8,0.0,0
45,217.5,250,238.8,271.3,0.0,0
46,222.0,250,271.3,299.3,0.0,0
47,213.7,250,299.3,300.0,35.6,0
48,213.1,250,300.0,300.0,36.9,0
49,213.4,250,300.0,300.0,36.6,0
50,213.4,250,300.0,300.0,36.6,0
51,212.7,250,300.0,300.0,37.3,0
52,208.3,250,300.0,300.0,41.7,0
