Semana,Demanda_Forecast_RF,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,210,63,0.0,0.0,0,147
42,223,67,0.0,0.0,0,156
43,210,63,0.0,0.0,0,147
44,217,66,0.0,0.0,0,151
45,217,66,0.0,0.0,0,151
46,222,67,0.0,0.0,0,155
47,214,65,0.0,0.0,0,149
48,213,64,0.0,0.0,0,149
49,213,64,0.0,0.0,0,149
50,213,64,0.0,0.0,0,149
51,213,64,0.0,0.0,0,149
52,208,63,0.0,0.0,0,145
