Semana,Demanda_Forecast_RF,Reposicion,Inv_Inicial,Inv_Final,Sobrestock,Stockout
41,210,252,80.0,122.0,0,0
42,223,268,122.0,167.0,0,0
43,210,252,167.0,209.0,0,0
44,217,261,209.0,253.0,0,0
45,217,261,253.0,297.0,0,0
46,222,267,297.0,300.0,42,0
47,214,257,300.0,300.0,43,0
48,213,256,300.0,300.0,43,0
49,213,256,300.0,300.0,43,0
50,213,256,300.0,300.0,43,0
51,213,256,300.0,300.0,43,0
52,208,250,300.0,300.0,42,0
